ave_fitness	ave_genome_length	ave_num_layers	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_num_layers	max_used_codons	min_genome_length	min_num_layers	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
7.059769775643329e+28	30.0	1.55	7.95	7.05977e+28	0	1	30	4	20	30	0	0	1	0	3.553049325942993	20	3.553049325942993	18	10.0	
6.950287e+28	30.05	1.35	6.9	6.4997524e+28	1	1	34	3	15	26	1	5	1	0	67.9897346496582	40	71.5427839756012	38	5.0	
6.8917036e+28	29.7	1.55	7.75	6.4997524e+28	2	1	37	3	15	23	1	5	1	0	74.82185983657837	60	146.36464381217957	58	3.3333333333333286	
6.8721336e+28	30.0	1.7	8.5	6.3723882e+28	3	1	34	5	25	24	1	5	1	0	83.85098028182983	80	230.2156240940094	78	2.5	
6.7748005e+28	27.95	1.8	9.0	5.2306967e+28	4	1	39	5	25	17	1	5	1	0	76.5027027130127	100	306.7183268070221	98	2.0	
6.8137274e+28	26.3	1.65	8.25	5.2306967e+28	5	1	43	3	15	8	1	5	1	0	77.97935223579407	120	384.69767904281616	118	1.6666666666666714	
6.499859e+28	23.7	2.0	10.0	1.6074963e+26	6	1	32	4	20	13	1	5	1	0	90.39810085296631	140	475.09577989578247	138	1.4285714285714164	
6.128912e+28	25.05	1.45	7.25	1.6074963e+26	7	1	35	3	15	10	1	5	1	0	69.76232671737671	160	544.8581066131592	158	1.25	
5.9397954e+28	29.3	2.05	10.25	9.614552e+25	8	1	39	5	25	22	1	5	1	0	94.67349910736084	180	639.53160572052	178	1.1111111111111143	
6.3257587e+28	28.05	1.9	9.5	9.614552e+25	9	1	37	5	25	19	1	5	1	0	86.60124373435974	200	726.1328494548798	198	1.0	
6.4591934e+28	29.65	2.75	13.75	9.614552e+25	10	1	44	6	30	16	1	5	1	0	128.441237449646	220	854.5740869045258	218	0.9090909090909065	
6.371231e+28	32.2	2.25	11.25	9.614552e+25	11	1	55	4	20	12	1	5	1	0	103.07514333724976	240	957.6492302417755	238	0.8333333333333286	
6.293997e+28	38.45	1.95	9.75	9.614552e+25	12	1	56	4	20	11	1	5	1	0	92.03982019424438	260	1049.68905043602	258	0.7692307692307736	
6.6019085e+28	38.15	1.8	9.0	9.614552e+25	13	1	51	4	20	11	1	5	1	0	85.87189412117004	280	1135.56094455719	278	0.7142857142857082	
6.5445794e+28	34.75	1.65	8.25	9.614552e+25	14	1	48	3	15	9	1	5	1	0	81.20748376846313	300	1216.768428325653	298	0.6666666666666714	
